Time,Length,ARTT,Status
2024-06-26 16:16:04,40,100,1
2024-06-26 16:16:04,71,22,0
2024-06-26 16:16:04,1360450,29,0
2024-06-26 16:16:04,1529544,29,0
2024-06-26 16:16:04,40,42,0
2024-06-26 16:16:04,435,42,0
2024-06-26 16:16:04,408,28,0
2024-06-26 16:16:04,15125,28,0
2024-06-26 16:16:04,11472,23,0
2024-06-26 16:16:04,38107,23,0
2024-06-26 16:16:04,697112,29,0
2024-06-26 16:16:04,897107,29,0
2024-06-26 16:16:04,240,30,0
2024-06-26 16:16:04,7201,37,0
2024-06-26 16:16:04,120,31,0
2024-06-26 16:16:05,8880,40,0
2024-06-26 16:16:05,7821,35,0
2024-06-26 16:16:05,40,25,0
2024-06-26 16:16:05,64,29,0
2024-06-26 16:16:05,1040,45,0
2024-06-26 16:16:05,1720,29,0
2024-06-26 16:16:05,1613204,29,0
2024-06-26 16:16:05,1927294,29,0
2024-06-26 16:16:05,80,42,0
2024-06-26 16:16:05,139880,28,0
2024-06-26 16:16:05,224461,28,0
2024-06-26 16:16:06,15600,43,0
2024-06-26 16:16:06,8619,40,0
2024-06-26 16:16:06,1200,37,0
2024-06-26 16:16:06,2752,27,0
2024-06-26 16:16:06,3002596,29,0
2024-06-26 16:16:06,4225755,29,0
2024-06-26 16:16:06,184518,28,0
2024-06-26 16:16:06,219410,28,0
2024-06-26 16:16:07,13760,39,0
2024-06-26 16:16:07,5096,39,0
2024-06-26 16:16:07,1040,37,0
2024-06-26 16:16:07,2408,58,1
2024-06-26 16:16:07,2790705,29,0
2024-06-26 16:16:07,4158141,29,0
2024-06-26 16:16:07,167314,28,0
2024-06-26 16:16:07,277252,28,0
2024-06-26 16:16:08,1600,44,0
2024-06-26 16:16:08,784,38,0
2024-06-26 16:16:08,1600,38,0
2024-06-26 16:16:08,3096,42,0
2024-06-26 16:16:08,40,38,0
2024-06-26 16:16:08,269,74,1
2024-06-26 16:16:08,285982,29,0
2024-06-26 16:16:08,387410,29,0
2024-06-26 16:16:08,285622,28,0
2024-06-26 16:16:08,339124,28,0
2024-06-26 16:16:08,40,44,0
2024-06-26 16:16:08,407,37,0
2024-06-26 16:16:09,320,41,0
2024-06-26 16:16:09,344,33,0
2024-06-26 16:16:09,58630,28,0
2024-06-26 16:16:09,50979,28,0
2024-06-26 16:16:10,920,57,1
2024-06-26 16:16:10,784,30,0
2024-06-26 16:16:10,81352,29,0
2024-06-26 16:16:10,114459,29,0
2024-06-26 16:16:12,40,37,0
2024-06-26 16:16:12,265,47,1
2024-06-26 16:16:12,40,39,0
2024-06-26 16:16:12,407,23,0
2024-06-26 16:16:16,40,39,0
2024-06-26 16:16:16,269,19,0
2024-06-26 16:16:16,40,41,0
2024-06-26 16:16:16,407,35,0
2024-06-26 16:16:17,1520,45,0
2024-06-26 16:16:17,1568,37,0
2024-06-26 16:16:17,200868,29,0
2024-06-26 16:16:17,299222,29,0
2024-06-26 16:16:20,40,86,1
2024-06-26 16:16:20,266,36,0
2024-06-26 16:16:20,40,28,0
2024-06-26 16:16:20,407,107,1
2024-06-26 16:16:21,40,41,0
2024-06-26 16:16:21,1134,54,1
2024-06-26 16:16:21,40,23,0
2024-06-26 16:16:21,1009,23,0
2024-06-26 16:16:24,1080,40,0
2024-06-26 16:16:24,1568,30,0
2024-06-26 16:16:24,138016,29,0
2024-06-26 16:16:24,167170,29,0
2024-06-26 16:16:28,784,39,0
2024-06-26 16:16:28,80,29,0
2024-06-26 16:16:29,600,43,0
2024-06-26 16:16:29,48220,29,0
2024-06-26 16:16:29,92778,29,0
2024-06-26 16:16:33,840,34,0
2024-06-26 16:16:33,784,22,0
2024-06-26 16:16:33,66550,29,0
2024-06-26 16:16:33,100230,29,0
2024-06-26 16:16:36,560,57,1
2024-06-26 16:16:36,784,65,1
2024-06-26 16:16:36,53398,29,0
2024-06-26 16:16:36,58087,29,0
2024-06-26 16:16:41,640,49,1
2024-06-26 16:16:41,784,43,0
2024-06-26 16:16:41,53496,29,0
2024-06-26 16:16:41,82194,29,0
2024-06-26 16:16:46,800,44,0
2024-06-26 16:16:46,1568,79,1
2024-06-26 16:16:46,260,39,0
2024-06-26 16:16:46,1509,28,0
2024-06-26 16:16:46,102222,29,0
2024-06-26 16:16:46,108905,29,0
2024-06-26 16:16:46,2964,33,0
2024-06-26 16:16:46,3316,39,0
2024-06-26 16:16:48,877,31,0
2024-06-26 16:16:48,40,89,1
2024-06-26 16:16:49,40,35,0
2024-06-26 16:16:49,1135,36,0
2024-06-26 16:16:51,720,34,0
2024-06-26 16:16:51,1568,86,1
2024-06-26 16:16:51,122988,29,0
2024-06-26 16:16:51,130035,29,0
2024-06-26 16:16:56,640,31,0
2024-06-26 16:16:56,784,38,0
2024-06-26 16:16:56,72818,29,0
2024-06-26 16:16:56,113448,29,0
2024-06-26 16:17:01,680,37,0
2024-06-26 16:17:01,784,20,0
2024-06-26 16:17:01,87916,29,0
2024-06-26 16:17:01,111564,29,0
2024-06-26 16:17:03,40,56,1
2024-06-26 16:17:03,71,39,0
2024-06-26 16:17:03,260,30,0
2024-06-26 16:17:03,21782,45,0
2024-06-26 16:17:03,160,23,0
2024-06-26 16:17:03,40,29,0
2024-06-26 16:17:03,328,35,0
2024-06-26 16:17:03,6118,32,0
2024-06-26 16:17:04,2411,37,0
2024-06-26 16:17:04,40,23,0
2024-06-26 16:17:05,80,73,1
2024-06-26 16:17:05,5956,38,0
2024-06-26 16:17:05,4640,40,0
2024-06-26 16:17:05,4692,56,1
2024-06-26 16:17:05,40,23,0
2024-06-26 16:17:05,7818,23,0
2024-06-26 16:17:05,402568,166,1
2024-06-26 16:17:05,930386,166,1
2024-06-26 16:17:06,2200,39,0
2024-06-26 16:17:06,1568,33,0
2024-06-26 16:17:06,6920,39,0
2024-06-26 16:17:06,5772,38,0
2024-06-26 16:17:06,173838,29,0
2024-06-26 16:17:06,166245,29,0
2024-06-26 16:17:06,1025774,166,1
2024-06-26 16:17:06,1274130,166,1
2024-06-26 16:17:08,40,28,0
2024-06-26 16:17:11,720,48,1
2024-06-26 16:17:11,784,62,1
2024-06-26 16:17:11,70740,29,0
2024-06-26 16:17:11,87850,29,0
2024-06-26 16:17:16,784,42,0
2024-06-26 16:17:16,80,29,0
2024-06-26 16:17:17,840,32,0
2024-06-26 16:17:17,90346,29,0
2024-06-26 16:17:17,97198,29,0
2024-06-26 16:17:20,80,33,0
2024-06-26 16:17:20,71,31,0
2024-06-26 16:17:20,120,24,0
2024-06-26 16:17:20,117,35,0
2024-06-26 16:17:21,960,44,0
2024-06-26 16:17:21,784,21,0
2024-06-26 16:17:21,100080,29,0
2024-06-26 16:17:21,106884,29,0
2024-06-26 16:17:24,1040,49,1
2024-06-26 16:17:24,784,25,0
2024-06-26 16:17:24,91368,29,0
2024-06-26 16:17:24,82295,29,0
2024-06-26 16:17:25,220,59,1
2024-06-26 16:17:25,1111,68,1
2024-06-26 16:17:25,220,60,1
2024-06-26 16:17:25,1150,38,0
2024-06-26 16:17:25,180,24,0
2024-06-26 16:17:25,927,26,0
2024-06-26 16:17:25,1028,41,0
2024-06-26 16:17:25,528,35,0
2024-06-26 16:17:25,100,76,1
2024-06-26 16:17:25,557,214,1
2024-06-26 16:17:25,288,26,0
2024-06-26 16:17:25,8879,26,0
2024-06-26 16:17:25,288,67,1
2024-06-26 16:17:25,6807,67,1
2024-06-26 16:17:25,168,30,0
2024-06-26 16:17:25,7304,30,0
2024-06-26 16:17:25,3360,39,0
2024-06-26 16:17:25,1408,44,0
2024-06-26 16:17:25,88,47,1
2024-06-26 16:17:26,480,34,0
2024-06-26 16:17:26,784,26,0
2024-06-26 16:17:26,1025,39,0
2024-06-26 16:17:26,120,39,0
2024-06-26 16:17:26,2800,97,1
2024-06-26 16:17:26,55794,29,0
2024-06-26 16:17:26,43462,29,0
2024-06-26 16:17:26,580,27,0
2024-06-26 16:17:26,80,47,1
2024-06-26 16:17:26,6906,47,1
2024-06-26 16:17:27,640,56,1
2024-06-26 16:17:27,58194,29,0
2024-06-26 16:17:27,89302,29,0
2024-06-26 16:17:29,180,47,1
2024-06-26 16:17:29,3893,37,0
2024-06-26 16:17:29,248,36,0
2024-06-26 16:17:29,5694,34,0
2024-06-26 16:17:31,680,37,0
2024-06-26 16:17:31,784,22,0
2024-06-26 16:17:31,66736,29,0
2024-06-26 16:17:31,77566,29,0
2024-06-26 16:17:35,40,21,0
2024-06-26 16:17:35,40,48,1
2024-06-26 16:17:35,40,112,1
2024-06-26 16:17:35,40,39,0
2024-06-26 16:17:35,40,36,0
2024-06-26 16:17:35,40,26,0
2024-06-26 16:17:35,40,67,1
2024-06-26 16:17:35,40,30,0
2024-06-26 16:17:35,40,38,0
2024-06-26 16:17:35,40,47,1
2024-06-26 16:17:36,1240,32,0
2024-06-26 16:17:36,1568,48,1
2024-06-26 16:17:36,187452,29,0
2024-06-26 16:17:36,235094,29,0
2024-06-26 16:17:37,40,21,0
2024-06-26 16:17:41,600,55,1
2024-06-26 16:17:41,784,128,1
2024-06-26 16:17:41,81738,29,0
2024-06-26 16:17:41,71623,29,0
2024-06-26 16:17:44,1160,52,1
2024-06-26 16:17:44,784,37,0
2024-06-26 16:17:44,116752,29,0
2024-06-26 16:17:44,152751,29,0
2024-06-26 16:17:49,80,30,0
2024-06-26 16:17:49,40,35,0
2024-06-26 16:17:49,71,37,0
2024-06-26 16:17:52,880,44,0
2024-06-26 16:17:52,784,38,0
2024-06-26 16:17:52,70950,29,0
2024-06-26 16:17:52,97388,29,0
2024-06-26 16:17:55,840,37,0
2024-06-26 16:17:55,784,24,0
2024-06-26 16:17:55,87090,29,0
2024-06-26 16:17:55,76215,29,0
2024-06-26 16:17:59,720,43,0
2024-06-26 16:17:59,784,42,0
2024-06-26 16:17:59,68466,29,0
2024-06-26 16:17:59,90605,29,0
2024-06-26 16:18:03,840,36,0
2024-06-26 16:18:03,1568,53,1
2024-06-26 16:18:03,40,37,0
2024-06-26 16:18:03,8416,76,1
2024-06-26 16:18:03,101264,29,0
2024-06-26 16:18:03,132372,29,0
2024-06-26 16:18:03,80,21,0
2024-06-26 16:18:03,271,38,0
2024-06-26 16:18:06,840,45,0
2024-06-26 16:18:06,784,67,1
2024-06-26 16:18:06,102562,29,0
2024-06-26 16:18:06,131577,29,0
2024-06-26 16:18:09,680,42,0
2024-06-26 16:18:09,784,41,0
2024-06-26 16:18:09,101804,29,0
2024-06-26 16:18:09,76265,29,0
2024-06-26 16:18:10,40,23,0
2024-06-26 16:18:10,80,166,1
2024-06-26 16:18:18,1040,31,0
2024-06-26 16:18:18,1568,42,0
2024-06-26 16:18:18,166176,29,0
2024-06-26 16:18:18,168740,29,0
2024-06-26 16:18:19,40,38,0
2024-06-26 16:18:19,6290,29,0
2024-06-26 16:18:23,1480,43,0
2024-06-26 16:18:23,784,30,0
2024-06-26 16:18:23,266476,29,0
2024-06-26 16:18:23,393517,29,0
2024-06-26 16:18:27,3040,39,0
2024-06-26 16:18:27,784,85,1
2024-06-26 16:18:27,301182,29,0
2024-06-26 16:18:27,492116,29,0
2024-06-26 16:18:30,1880,42,0
2024-06-26 16:18:30,784,37,0
2024-06-26 16:18:30,245384,29,0
2024-06-26 16:18:30,309341,29,0
2024-06-26 16:18:30,40,49,1
2024-06-26 16:18:34,2000,37,0
2024-06-26 16:18:34,784,54,1
2024-06-26 16:18:34,261690,29,0
2024-06-26 16:18:34,336221,29,0
2024-06-26 16:18:38,1160,40,0
2024-06-26 16:18:38,784,19,0
2024-06-26 16:18:38,108774,29,0
2024-06-26 16:18:38,168771,29,0
2024-06-26 16:18:42,1080,40,0
2024-06-26 16:18:42,784,31,0
2024-06-26 16:18:42,115012,29,0
2024-06-26 16:18:42,162447,29,0
2024-06-26 16:18:45,784,77,1
2024-06-26 16:18:45,80,29,0
2024-06-26 16:18:46,1080,45,0
2024-06-26 16:18:46,94493,29,0
2024-06-26 16:18:46,169237,29,0
2024-06-26 16:18:50,1200,41,0
2024-06-26 16:18:50,784,23,0
2024-06-26 16:18:50,119128,29,0
2024-06-26 16:18:50,152696,29,0
2024-06-26 16:18:53,1160,47,1
2024-06-26 16:18:53,784,28,0
2024-06-26 16:18:53,126000,29,0
2024-06-26 16:18:53,166958,29,0
2024-06-26 16:18:57,1480,40,0
2024-06-26 16:18:57,784,34,0
2024-06-26 16:18:57,170290,29,0
2024-06-26 16:18:57,254227,29,0
2024-06-26 16:19:03,300,30,0
2024-06-26 16:19:03,15027,54,1
2024-06-26 16:19:03,448,27,0
2024-06-26 16:19:03,6235,33,0
2024-06-26 16:19:05,1480,39,0
2024-06-26 16:19:05,1568,34,0
2024-06-26 16:19:05,191632,29,0
2024-06-26 16:19:05,269865,29,0
2024-06-26 16:19:08,784,56,1
2024-06-26 16:19:08,80,29,0
2024-06-26 16:19:09,1000,37,0
2024-06-26 16:19:09,103416,29,0
2024-06-26 16:19:09,154343,29,0
2024-06-26 16:19:11,920,39,0
2024-06-26 16:19:11,784,49,1
2024-06-26 16:19:11,97708,29,0
2024-06-26 16:19:11,130430,29,0
2024-06-26 16:19:14,1000,32,0
2024-06-26 16:19:14,784,137,1
2024-06-26 16:19:14,111498,29,0
2024-06-26 16:19:14,131148,29,0
2024-06-26 16:19:16,880,37,0
2024-06-26 16:19:16,784,38,0
2024-06-26 16:19:16,90080,29,0
2024-06-26 16:19:16,123523,29,0
2024-06-26 16:19:19,920,41,0
2024-06-26 16:19:19,784,44,0
2024-06-26 16:19:19,100364,29,0
2024-06-26 16:19:19,115310,29,0
2024-06-26 16:19:21,140,100,1
2024-06-26 16:19:21,1784,33,0
2024-06-26 16:19:21,168,29,0
2024-06-26 16:19:21,191,29,0
2024-06-26 16:19:22,1240,36,0
2024-06-26 16:19:22,784,38,0
2024-06-26 16:19:22,40,37,0
2024-06-26 16:19:22,125002,29,0
2024-06-26 16:19:22,183096,29,0
2024-06-26 16:19:22,1035,29,0
2024-06-26 16:19:27,1040,50,1
2024-06-26 16:19:27,784,72,1
2024-06-26 16:19:27,112860,29,0
2024-06-26 16:19:27,142542,29,0
2024-06-26 16:19:31,960,33,0
2024-06-26 16:19:31,784,36,0
2024-06-26 16:19:31,91222,29,0
2024-06-26 16:19:31,143971,29,0
2024-06-26 16:19:35,1960,42,0
2024-06-26 16:19:35,1568,32,0
