Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-08-25 22:58:04,2a00:1450:4005:4::7,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,NL,Groningen,Groningen,AS15169 Google LLC,6.5667,53.2192,Cable,10436348,16
2024-08-25 22:58:05,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,17745,16
2024-08-25 22:58:05,2a00:1450:4005:4::7,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,NL,Groningen,Groningen,AS15169 Google LLC,6.5667,53.2192,Cable,2300398,16
2024-08-25 22:58:07,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80c::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,95,16
2024-08-25 22:58:07,2a00:1450:4016:80c::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,142,16
2024-08-25 22:58:09,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80a::2003,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,6400,15
2024-08-25 22:58:09,2a00:1450:4016:80a::2003,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,8530,16
2024-08-25 22:58:10,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:809::200e,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,880,16
2024-08-25 22:58:11,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:809::200e,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,286,16
2024-08-25 22:58:11,2a00:1450:4016:809::200e,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,US,California,San Francisco,AS15169 Google LLC,-122.4194,37.7749,Cable,391,16
2024-08-25 22:58:15,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:400c:c02::bc,TCP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,74,16
2024-08-25 22:58:15,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80c::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,95,17
2024-08-25 22:58:15,2a00:1450:400c:c02::bc,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,TCP,BE,Brussels Capital,Brussels,AS15169 Google LLC,4.3488,50.8505,Cable,86,16
2024-08-25 22:58:15,2a00:1450:4016:80c::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,142,16
2024-08-25 22:58:18,192.168.178.20,35.186.224.45,TCP,DE,Bavaria,Munich,Deutsche Telekom,48.12979433960958,11.583302258050129,Cable,66,16
2024-08-25 22:58:18,192.168.178.20,35.186.224.45,TLSv1.2,DE,Bavaria,Munich,Deutsche Telekom,48.12979433960958,11.583302258050129,Cable,94,16
2024-08-25 22:58:18,35.186.224.45,192.168.178.20,TCP,US,Missouri,Kansas City,AS15169 Google LLC,-94.5786,39.0997,Cable,66,16
2024-08-25 22:58:18,35.186.224.45,192.168.178.20,TLSv1.2,US,Missouri,Kansas City,AS15169 Google LLC,-94.5786,39.0997,Cable,90,15
2024-08-25 22:58:22,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:809::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,595,16
2024-08-25 22:58:22,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:809::200e,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,1334,16
2024-08-25 22:58:22,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80c::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,886,16
2024-08-25 22:58:22,2a00:1450:4016:809::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,US,California,San Francisco,AS15169 Google LLC,-122.4194,37.7749,Cable,393,16
2024-08-25 22:58:22,2a00:1450:4016:809::200e,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,US,California,San Francisco,AS15169 Google LLC,-122.4194,37.7749,Cable,303,16
2024-08-25 22:58:22,2a00:1450:4016:80c::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,572,15
2024-08-25 22:58:23,192.168.178.20,34.158.0.131,TCP,DE,Bavaria,Munich,Deutsche Telekom,48.12979433960958,11.583302258050129,Cable,66,16
2024-08-25 22:58:23,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:809::200e,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,94,16
2024-08-25 22:58:23,2a00:1450:4016:809::200e,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,US,California,San Francisco,AS15169 Google LLC,-122.4194,37.7749,Cable,86,16
2024-08-25 22:58:23,34.158.0.131,192.168.178.20,TCP,NL,Groningen,Delfzijl,AS396982 Google LLC,6.9181,53.33,Cable,77,15
2024-08-25 22:58:27,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,35646,15
2024-08-25 22:58:27,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:809::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,595,16
2024-08-25 22:58:27,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80c::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,666,16
2024-08-25 22:58:27,2a00:1450:4005:4::7,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,NL,Groningen,Groningen,AS15169 Google LLC,6.5667,53.2192,Cable,4261692,15
2024-08-25 22:58:27,2a00:1450:4016:809::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,US,California,San Francisco,AS15169 Google LLC,-122.4194,37.7749,Cable,392,16
2024-08-25 22:58:27,2a00:1450:4016:80c::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,572,15
2024-08-25 22:58:28,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,72705,16
2024-08-25 22:58:28,2a00:1450:4005:4::7,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,NL,Groningen,Groningen,AS15169 Google LLC,6.5667,53.2192,Cable,9512187,15
2024-08-25 22:58:29,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4001:80b::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,3110,16
