Time,Length,ARTT,Status
2024-07-07 08:01:14,880,32,0
2024-07-07 08:01:14,749,32,0
2024-07-07 08:01:14,1430684,40,0
2024-07-07 08:01:14,1864278,40,0
2024-07-07 08:01:14,71628,70,1
2024-07-07 08:01:14,78039,70,1
2024-07-07 08:01:15,16520,33,0
2024-07-07 08:01:15,1514,27,0
2024-07-07 08:01:15,680,30,0
2024-07-07 08:01:15,753,30,0
2024-07-07 08:01:15,3283992,40,0
2024-07-07 08:01:15,4215306,40,0
2024-07-07 08:01:15,53282,70,1
2024-07-07 08:01:15,87271,70,1
2024-07-07 08:01:16,11640,32,0
2024-07-07 08:01:16,3026,28,0
2024-07-07 08:01:16,840,32,0
2024-07-07 08:01:16,751,30,0
2024-07-07 08:01:16,2267525,40,0
2024-07-07 08:01:16,2851233,40,0
2024-07-07 08:01:16,74426,70,1
2024-07-07 08:01:16,107353,70,1
2024-07-07 08:01:17,2040,32,0
2024-07-07 08:01:17,396878,40,0
2024-07-07 08:01:17,484361,40,0
2024-07-07 08:01:44,40,27,0
2024-07-07 08:01:44,40,38,0
2024-07-07 08:01:44,64,38,0
2024-07-07 08:01:45,80,31,0
2024-07-07 08:01:45,40,38,0
2024-07-07 08:01:45,64,38,0
2024-07-07 08:01:52,80,34,0
2024-07-07 08:01:52,120,32,0
2024-07-07 08:01:52,3100,30,0
2024-07-07 08:01:52,80,45,0
2024-07-07 08:01:52,40,27,0
2024-07-07 08:01:52,64,29,0
2024-07-07 08:01:52,240,37,0
2024-07-07 08:01:52,1638,37,0
2024-07-07 08:01:52,40,70,1
2024-07-07 08:01:52,64,70,1
2024-07-07 08:02:01,757,27,0
2024-07-07 08:02:01,80,27,0
2024-07-07 08:02:01,40,42,0
2024-07-07 08:02:01,40,27,0
2024-07-07 08:02:01,40,40,0
2024-07-07 08:02:01,40,70,1
2024-07-07 08:02:02,10120,32,0
2024-07-07 08:02:02,2265,33,0
2024-07-07 08:02:02,800,35,0
2024-07-07 08:02:02,749,62,1
2024-07-07 08:02:02,2073296,40,0
2024-07-07 08:02:02,2613772,40,0
2024-07-07 08:02:02,75996,70,1
2024-07-07 08:02:02,74565,70,1
2024-07-07 08:02:03,12480,33,0
2024-07-07 08:02:03,2267,33,0
2024-07-07 08:02:03,2495021,40,0
2024-07-07 08:02:03,3222242,40,0
2024-07-07 08:02:04,19480,32,0
2024-07-07 08:02:04,1516,36,0
2024-07-07 08:02:04,720,32,0
2024-07-07 08:02:04,751,46,1
2024-07-07 08:02:04,3775650,40,0
2024-07-07 08:02:04,5202885,40,0
2024-07-07 08:02:04,60526,70,1
2024-07-07 08:02:04,82749,70,1
2024-07-07 08:02:05,15360,33,0
2024-07-07 08:02:05,1512,27,0
2024-07-07 08:02:05,3115230,40,0
2024-07-07 08:02:05,4052612,40,0
2024-07-07 08:02:06,2880,33,0
2024-07-07 08:02:06,600386,40,0
2024-07-07 08:02:06,880732,40,0
2024-07-07 08:02:51,10840,33,0
2024-07-07 08:02:51,2274,31,0
2024-07-07 08:02:51,800,30,0
2024-07-07 08:02:51,752,31,0
2024-07-07 08:02:51,2197584,40,0
2024-07-07 08:02:51,2856267,40,0
2024-07-07 08:02:51,60606,70,1
2024-07-07 08:02:51,83673,70,1
2024-07-07 08:02:52,7160,31,0
2024-07-07 08:02:52,3036,30,0
2024-07-07 08:02:52,40,29,0
2024-07-07 08:02:52,3089,28,0
2024-07-07 08:02:52,280,28,0
2024-07-07 08:02:52,752,27,0
2024-07-07 08:02:52,1450440,40,0
2024-07-07 08:02:52,1916123,40,0
2024-07-07 08:02:52,160,37,0
2024-07-07 08:02:52,1628,37,0
2024-07-07 08:02:52,22208,70,1
2024-07-07 08:02:52,33780,70,1
2024-07-07 08:02:53,13920,32,0
2024-07-07 08:02:53,756,30,0
2024-07-07 08:02:53,440,27,0
2024-07-07 08:02:53,2825968,40,0
2024-07-07 08:02:53,3632228,40,0
2024-07-07 08:02:53,37720,70,1
2024-07-07 08:02:53,62359,70,1
2024-07-07 08:02:54,13040,33,0
2024-07-07 08:02:54,2276,28,0
2024-07-07 08:02:54,2578396,40,0
2024-07-07 08:02:54,3397427,40,0
2024-07-07 08:02:55,13680,32,0
2024-07-07 08:02:55,2270,36,0
2024-07-07 08:02:55,720,29,0
2024-07-07 08:02:55,750,27,0
2024-07-07 08:02:55,2776170,40,0
2024-07-07 08:02:55,3440497,40,0
2024-07-07 08:02:55,60364,70,1
2024-07-07 08:02:55,93814,70,1
2024-07-07 08:02:56,4480,33,0
2024-07-07 08:02:56,908538,40,0
2024-07-07 08:02:56,1161736,40,0
2024-07-07 08:02:58,782,34,0
2024-07-07 08:02:58,80,37,0
2024-07-07 08:02:58,353,37,0
2024-07-07 08:02:59,40,27,0
2024-07-07 08:02:59,6591,44,0
2024-07-07 08:02:59,80,37,0
2024-07-07 08:02:59,75,37,0
2024-07-07 08:03:00,320,28,0
2024-07-07 08:03:00,1636,37,0
2024-07-07 08:03:00,10080,37,0
2024-07-07 08:03:00,19460,37,0
2024-07-07 08:03:41,10240,33,0
2024-07-07 08:03:41,1514,46,1
2024-07-07 08:03:41,1833468,40,0
2024-07-07 08:03:41,2250885,40,0
2024-07-07 08:03:42,10120,33,0
2024-07-07 08:03:42,3030,41,0
2024-07-07 08:03:42,720,31,0
2024-07-07 08:03:42,752,27,0
2024-07-07 08:03:42,2060899,40,0
2024-07-07 08:03:42,2674549,40,0
2024-07-07 08:03:42,55400,70,1
2024-07-07 08:03:42,101268,70,1
2024-07-07 08:03:43,14520,32,0
2024-07-07 08:03:43,1514,36,0
2024-07-07 08:03:43,720,32,0
2024-07-07 08:03:43,752,30,0
2024-07-07 08:03:43,2954058,40,0
2024-07-07 08:03:43,3646182,40,0
2024-07-07 08:03:43,54416,70,1
2024-07-07 08:03:43,104174,70,1
2024-07-07 08:03:44,17520,32,0
2024-07-07 08:03:44,758,27,0
2024-07-07 08:03:44,3527306,40,0
2024-07-07 08:03:44,4381851,40,0
2024-07-07 08:03:45,19520,33,0
2024-07-07 08:03:45,758,29,0
2024-07-07 08:03:45,4037902,40,0
2024-07-07 08:03:45,5244537,40,0
2024-07-07 08:03:46,15680,32,0
2024-07-07 08:03:46,1516,36,0
2024-07-07 08:03:46,800,35,0
2024-07-07 08:03:46,750,27,0
2024-07-07 08:03:46,3276159,40,0
2024-07-07 08:03:46,4235866,40,0
2024-07-07 08:03:46,66788,70,1
2024-07-07 08:03:46,124212,70,1
2024-07-07 08:03:47,14880,32,0
2024-07-07 08:03:47,758,27,0
2024-07-07 08:03:47,3116954,40,0
2024-07-07 08:03:47,4062024,40,0
2024-07-07 08:03:52,120,29,0
2024-07-07 08:03:52,3091,34,0
2024-07-07 08:03:52,160,37,0
2024-07-07 08:03:52,1639,37,0
