"No.","Time","Source","Destination","Protocol","Length","Info"
"129","6.834764630","142.251.0.109","192.168.0.3","TLSv1.3","2866","Server Hello, Change Cipher Spec"
"130","6.834764780","142.251.0.109","192.168.0.3","TLSv1.3","1403","Application Data"
"131","6.834794296","192.168.0.3","142.251.0.109","TCP","66","54712  >  465 [ACK] Seq=518 Ack=2801 Win=70656 Len=0 TSval=2822367059 TSecr=1817052499"
"132","6.834802251","192.168.0.3","142.251.0.109","TCP","66","54712  >  465 [ACK] Seq=518 Ack=4138 Win=73728 Len=0 TSval=2822367059 TSecr=1817052499"
"133","6.835617594","192.168.0.3","142.251.0.109","TLSv1.3","176","Change Cipher Spec, Application Data, Application Data"
"134","6.950788617","142.251.0.109","192.168.0.3","TCP","66","465  >  54712 [ACK] Seq=4138 Ack=628 Win=268800 Len=0 TSval=1817052615 TSecr=2822367059"
"135","7.102640993","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"136","7.105738741","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"137","7.167530196","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"138","7.450737661","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"139","7.500800263","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2804:29b8:1000:1::17","DNS","111","Standard query 0xe8f8 HTTPS classroom.google.com OPT"
"140","7.500865217","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2804:29b8:1000:1::17","DNS","111","Standard query 0x3ce9 AAAA classroom.google.com OPT"
"141","7.500918879","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2804:29b8:1000:1::17","DNS","111","Standard query 0x7b51 A classroom.google.com OPT"
"142","7.504916411","2804:29b8:1000:1::17","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","DNS","139","Standard query response 0x3ce9 AAAA classroom.google.com AAAA 2800:3f0:4004:812::200e OPT"
"143","7.505185533","2804:29b8:1000:1::17","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","DNS","127","Standard query response 0x7b51 A classroom.google.com A 142.250.78.206 OPT"
"144","7.510767862","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","1292","Initial, DCID=6fd035ec41027987, PKN: 1, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO"
"145","7.510780036","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","1292","Initial, DCID=6fd035ec41027987, PKN: 2, CRYPTO, PING, CRYPTO, PING, CRYPTO, PING, CRYPTO, CRYPTO"
"146","7.510887059","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","143","0-RTT, DCID=6fd035ec41027987"
"147","7.511084976","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","1288","0-RTT, DCID=6fd035ec41027987"
"148","7.511092591","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","1292","0-RTT, DCID=6fd035ec41027987"
"149","7.511116566","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","1078","0-RTT, DCID=6fd035ec41027987"
"150","7.511121516","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","149","0-RTT, DCID=6fd035ec41027987"
"151","7.572774577","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","102","Initial, SCID=efd035ec41027987, PKN: 1, ACK"
"152","7.572861162","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","1292","Initial, SCID=efd035ec41027987, PKN: 2, ACK, PADDING"
"153","7.612712772","2804:29b8:1000:1::17","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","DNS","161","Standard query response 0xe8f8 HTTPS classroom.google.com SOA ns1.google.com OPT"
"154","7.627680281","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","1292","Initial, SCID=efd035ec41027987, PKN: 3, CRYPTO, PADDING"
"155","7.627818264","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","342","Protected Payload (KP0)"
"156","7.627866886","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","1012","Protected Payload (KP0)"
"157","7.627964773","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","140","Handshake, DCID=efd035ec41027987"
"158","7.628006843","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","93","Protected Payload (KP0), DCID=efd035ec41027987"
"159","7.628623868","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","89","Protected Payload (KP0)"
"160","7.628623998","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","86","Protected Payload (KP0)"
"161","7.629741937","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","84","Protected Payload (KP0)"
"162","7.629791922","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","93","Protected Payload (KP0), DCID=efd035ec41027987"
"163","7.690393311","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","182","Protected Payload (KP0)"
"164","7.715521636","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","94","Protected Payload (KP0), DCID=efd035ec41027987"
"165","7.756631673","142.251.0.109","192.168.0.3","TLSv1.3","707","Application Data, Application Data"
"166","7.756798079","192.168.0.3","142.251.0.109","TLSv1.3","104","Application Data"
"167","7.816907101","192.168.0.6","224.0.0.251","MDNS","151","Standard query 0x0010 PTR _googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question"
"168","7.817329755","fe80::604b:19ff:feea:9a72","ff02::fb","MDNS","171","Standard query 0x0010 PTR _googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question"
"169","7.867916165","142.251.0.109","192.168.0.3","TCP","66","465  >  54712 [ACK] Seq=4779 Ack=666 Win=268800 Len=0 TSval=1817053533 TSecr=2822367981"
"170","8.032069684","142.251.0.109","192.168.0.3","TLSv1.3","311","Application Data"
"171","8.032167390","192.168.0.3","142.251.0.109","TLSv1.3","100","Application Data"
"172","8.102652899","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"173","8.105737672","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"174","8.142897978","142.251.0.109","192.168.0.3","TCP","66","465  >  54712 [ACK] Seq=5024 Ack=700 Win=268800 Len=0 TSval=1817053808 TSecr=2822368256"
"175","8.168766222","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
